State,Incumbent
AZ,REP
CA,DEM
CT,DEM
DE,DEM
FL,DEM
HI,DEM
IN,DEM
ME,DEM
MD,DEM
MA,DEM
MI,DEM
MN,DEM
MNS,DEM
MS,REP
MSS,REP
MO,DEM
MT,DEM
NE,REP
NV,REP
NJ,DEM
NM,DEM
NY,DEM
ND,DEM
OH,DEM
PA,DEM
RI,DEM
TN,REP
TX,REP
UT,REP
VT,DEM
VA,DEM
WA,DEM
WV,DEM
WI,DEM
WY,REP
